x RMSE, y RMSE, vx RMSE, vy RMSE, NIS, Sensor
0.069337, 0.081693, 0.424594, 0.261694, 1.43779,1
0.0694672, 0.0817772, 0.424045, 0.261547, 3.09175,0
0.06967, 0.0818139, 0.423543, 0.261323, 1.6888,1
0.0700875, 0.0817561, 0.423132, 0.261004, 2.79335,0
0.0706821, 0.0816652, 0.423041, 0.260599, 0.933478,1
0.0713152, 0.0815378, 0.422888, 0.26019, 0.579334,0
0.071819, 0.0814167, 0.422258, 0.259919, 2.89998,1
0.0724336, 0.0812923, 0.421647, 0.25956, 1.61525,0
0.0732305, 0.0811905, 0.421281, 0.259156, 1.48167,1
0.0735806, 0.0811125, 0.420699, 0.258771, 4.66916,0
0.0737682, 0.0810351, 0.420047, 0.258369, 2.74117,1
0.0739859, 0.0810927, 0.419396, 0.25802, 1.82245,0
0.0743475, 0.0813498, 0.418912, 0.257952, 3.35476,1
0.0747294, 0.0814988, 0.418409, 0.257714, 1.00783,0
0.0749347, 0.0816211, 0.417796, 0.257336, 2.70389,1
0.0751693, 0.0816064, 0.417173, 0.256955, 0.685971,0
0.0754562, 0.081588, 0.416542, 0.256568, 0.433633,1
0.0754948, 0.0818328, 0.41593, 0.256268, 2.02005,0
0.0754612, 0.0820164, 0.415344, 0.25593, 4.4511,1
0.0753688, 0.0819745, 0.414807, 0.255556, 5.17047,0
0.0752861, 0.0819648, 0.414188, 0.255173, 1.85448,1
0.0751848, 0.081869, 0.413566, 0.25482, 2.06589,0
0.0750804, 0.0818093, 0.412959, 0.254441, 1.99579,1
0.0749728, 0.0818588, 0.412348, 0.254077, 0.590334,0
0.0749127, 0.08196, 0.411805, 0.253717, 4.78545,1
0.0748022, 0.0822508, 0.411199, 0.253469, 1.80022,0
0.0746925, 0.0823408, 0.410627, 0.253097, 7.87565,1
0.074597, 0.0823989, 0.410085, 0.252723, 0.491421,0
0.0745167, 0.0824839, 0.409497, 0.252354, 1.66734,1
0.0744585, 0.0826971, 0.408924, 0.252017, 0.248433,0
0.0743906, 0.0829978, 0.408326, 0.251709, 0.536806,1
0.0742827, 0.0830197, 0.407773, 0.251377, 1.81921,0
0.0741767, 0.0830087, 0.40718, 0.251095, 1.81468,1
0.0740691, 0.0829595, 0.406596, 0.250867, 0.290021,0
0.0739635, 0.0829163, 0.406038, 0.250654, 3.84248,1
0.0738578, 0.0831856, 0.405508, 0.250296, 3.1453,0
0.0737517, 0.0835688, 0.404925, 0.249954, 1.16597,1
0.0736549, 0.0844959, 0.40435, 0.249889, 1.48754,0
0.0735636, 0.0858012, 0.403782, 0.25006, 4.98152,1
0.0735253, 0.0857718, 0.403277, 0.250049, 13.7156,0
0.0734671, 0.0856815, 0.402705, 0.250199, 1.69099,1
0.073413, 0.0856401, 0.402134, 0.250159, 0.777403,0
0.0733309, 0.0855889, 0.401568, 0.250115, 2.58698,1
0.0733074, 0.0854979, 0.401004, 0.250247, 1.01733,0
0.0732581, 0.0853918, 0.400441, 0.250431, 1.98759,1
0.0732981, 0.0853154, 0.399896, 0.251401, 1.15819,0
0.0734743, 0.085226, 0.399605, 0.252384, 5.68572,1
0.073695, 0.0851867, 0.399259, 0.253507, 0.0303898,0
0.0739034, 0.0851823, 0.398729, 0.254442, 2.34882,1
0.073961, 0.0852022, 0.398177, 0.255192, 1.63154,0
0.0740804, 0.0853116, 0.397633, 0.256174, 0.734573,1
0.0740136, 0.085202, 0.397119, 0.255871, 6.88548,0
0.0739638, 0.0850915, 0.396593, 0.255622, 3.55063,1
0.0738627, 0.0850545, 0.39605, 0.255276, 2.383,0
0.0737648, 0.0850194, 0.395595, 0.254957, 1.56419,1
0.0736655, 0.0849429, 0.395094, 0.254609, 0.739002,0
0.0735665, 0.0848827, 0.394645, 0.254272, 0.825602,1
0.0734722, 0.0847909, 0.394144, 0.254174, 2.07798,0
0.073379, 0.084689, 0.393624, 0.254023, 1.99799,1
0.0732815, 0.0846626, 0.393116, 0.253715, 3.24403,0
0.0731831, 0.0846234, 0.392588, 0.253381, 3.51698,1
0.0731844, 0.0845106, 0.392103, 0.25323, 5.08401,0
0.0732149, 0.0844, 0.391617, 0.253065, 0.311941,1
0.0731417, 0.0842959, 0.391095, 0.252737, 2.95316,0
0.0730793, 0.0842027, 0.390575, 0.252401, 1.86133,1
0.0730241, 0.084091, 0.390057, 0.252112, 0.274115,0
0.0729355, 0.0839819, 0.389579, 0.251798, 1.28963,1
0.0728401, 0.0838787, 0.389143, 0.251475, 0.594568,0
0.0727516, 0.0837697, 0.388838, 0.251145, 6.30553,1
0.0726623, 0.0837277, 0.388514, 0.250939, 0.59309,0
0.0725904, 0.0836955, 0.388283, 0.250703, 0.206782,1
0.0725487, 0.0835999, 0.388104, 0.250376, 0.429955,0
0.0725417, 0.0835074, 0.38774, 0.250081, 11.1064,1
0.0725634, 0.0834377, 0.38737, 0.249867, 1.54154,0
0.0725652, 0.0833876, 0.386884, 0.249607, 3.54382,1
0.0724841, 0.08342, 0.386388, 0.249423, 4.27211,0
0.0723918, 0.0835024, 0.385945, 0.249241, 0.528577,1
0.0723183, 0.0835342, 0.385588, 0.248957, 1.56635,0
0.0722445, 0.0835288, 0.385217, 0.248647, 1.42132,1
0.0721553, 0.0834535, 0.38479, 0.248751, 5.35902,0
0.0720633, 0.0833899, 0.384324, 0.248768, 1.09864,1
0.071973, 0.0834476, 0.383846, 0.249084, 0.7843,0
0.071883, 0.0835367, 0.38336, 0.249304, 2.1128,1
0.0717956, 0.0835335, 0.382884, 0.249214, 1.37335,0
0.0717265, 0.0835939, 0.382447, 0.249227, 1.56387,1
0.0716665, 0.0836689, 0.382019, 0.2492, 0.0122525,0
0.0715819, 0.0838429, 0.381555, 0.24927, 5.07091,1
0.0714924, 0.083894, 0.381086, 0.249068, 0.800321,0
0.0714041, 0.0839324, 0.380646, 0.248823, 2.31583,1
0.0713396, 0.0838283, 0.380291, 0.248595, 2.52409,0
0.0712745, 0.083724, 0.37996, 0.248368, 2.75741,1
0.0712064, 0.0837021, 0.379661, 0.248502, 1.03104,0
0.0711214, 0.0836917, 0.379259, 0.248509, 1.88321,1
0.0710385, 0.0838194, 0.378826, 0.248769, 2.4337,0
0.0709603, 0.0841157, 0.378361, 0.249145, 6.83777,1
0.0708787, 0.0842827, 0.377898, 0.249128, 0.421018,0
0.070816, 0.0843411, 0.377444, 0.248886, 8.78455,1
0.0707685, 0.084277, 0.377008, 0.24859, 0.597483,0
0.0707249, 0.0842038, 0.376567, 0.248298, 0.227879,1
0.0707128, 0.0841064, 0.376157, 0.248212, 0.696505,0
0.0707503, 0.0840238, 0.375824, 0.248229, 0.777902,1
0.0708063, 0.0839228, 0.375479, 0.248031, 0.29593,0
0.0708586, 0.0838228, 0.375057, 0.247775, 2.78584,1
0.0708823, 0.0838107, 0.374609, 0.247575, 1.51883,0
0.0709671, 0.0838284, 0.37417, 0.24739, 2.14581,1
0.0710699, 0.083775, 0.373741, 0.247102, 0.309793,0
0.0711669, 0.0837032, 0.373305, 0.246807, 1.12221,1
0.0715192, 0.0836058, 0.372959, 0.246617, 3.63712,0
0.0718843, 0.0835195, 0.372597, 0.246463, 0.558486,1
